Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Paratyphi infection§, Cum 2018†","Salmonella Paratyphi infection§, Cum 2018†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶,Previous 52 weeks Max†","Salmonella Typhi infection¶,Previous 52 weeks Max†, flag","Salmonella Typhi infection, Cum 2019†","Salmonella Typhi infection, Cum 2019†, flag","Salmonella Typhi infection, Cum 2018†","Salmonella Typhi infection, Cum 2018†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2018†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
NEW ENGLAND,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
MIDDDLE ATLANTIC,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
NEW YORK CITY,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
EAST NORTH CENTRAL,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
WEST NORTH CENTRAL,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
SOUTH ATLANTIC,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
EAST SOUTH CENTRAL,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
WEST SOUTH CENTRAL,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
MOUNTAIN,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
PACIFIC,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
US TERRITORIES,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
AMERICAN SAMOA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
LOUISIANA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"LOUISIANA
(31.2931, -92.463284)",
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
TOTAL,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
GEORGIA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEBRASKA
(41.640503, -99.367122)",
CALIFORNIA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MAINE
(45.252223, -68.986647)",
VERMONT,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VERMONT
(43.622479, -72.51927)",
TEXAS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GUAM
(13.3532, 144.653198)",
INDIANA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CONNECTICUT
(41.544654, -72.651713)",
DISTRICT OF COLUMBIA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ILLINOIS
(40.477092, -88.993221)",
IDAHO,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IDAHO
(43.680635, -114.364237)",
DELAWARE,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OHIO
(40.056807, -82.405897)",
U.S. VIRGIN ISLANDS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGIN ISLANDS
(18.060868, -64.840836)",
HAWAII,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"HAWAII
(21.30992, -157.858158)",
FLORIDA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WISCONSIN
(44.395526, -89.834513)",
ARIZONA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PUERTO RICO
(18.215692, -66.414655)",
NORTHERN MARIANA ISLANDS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TENNESSEE,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TENNESSEE
(35.681402, -85.774444)",
NEVADA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OKLAHOMA
(35.468494, -97.521264)",
MICHIGAN,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WYOMING
(43.23558, -108.110518)",
VIRGINIA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"UTAH
(39.359772, -111.584173)",
ALABAMA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MINNESOTA
(46.357661, -94.793397)",
MISSISSIPPI,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSISSIPPI
(32.738663, -89.537312)",
KANSAS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KANSAS
(38.345528, -98.201847)",
COLORADO,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW JERSEY
(40.104655, -74.386686)",
MISSOURI,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MONTANA
(47.062617, -109.430168)",
IOWA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH CAROLINA
(34.009286, -81.037094)",
